NU_INSCRICAO,NU_NOTA_MT,NOTA_PROVA
c363bec718e45cd6bf8cba599cc3990d77f95c22,930.1595636410897,846.0122562784067
890014a4e63d88574c62197a24fd43ba5749db83,983.2564986644963,820.4066186660466
084d4e847b3809c6ee6622dd2e095156230f471b,830.8317736956752,817.1852686749547
328ca19128d276eb4fbc309c54ec7f346c803d2f,779.2499299489782,802.504741890184
e6375694613198f8db0720d7a8a04d8263116116,776.3874988271798,795.1249996649085
ef5f221a0c4ed1747aa949dba2f629e98f3a9438,869.1169183462334,791.4476909560667
6d4bee056abcea733d36060113427081daae72d1,861.970913282745,786.6631180807841
34333ed47110024961ff7a95cc92900ab6fbdd33,784.2316211072676,784.0423679354099
e6c93e838e090b96a97db0a212e3d5ad7e67a8c4,765.5893447280233,774.6826699222923
34d6082a74330b3f5bc565fc573674afaa03f661,824.8799892164808,771.1990445380421
bb4ec0a4a66bea29328f27b05364af97a510cee0,828.4007859282259,768.6430816937788
c8feec2a94d996d03534ce935dec7a034667f107,850.8792217793458,768.5797776512417
c759ad904d22197f1cf3b5ef9e41ee1609513cea,737.1249122134925,760.2690225371884
fe8333dd7a48c2c6da19394b93e6413b2d969588,708.9625088377733,756.5750025250779
1c6cbf69a4c9bb53f3ca9c5417965c00e9f4404c,706.8669844280045,755.185805074668
47f77c8edf0812b4dc1a2279f060e79c1d40b791,749.9454728333294,751.4891827142845
d3b6eab5a3d56dc9823cf355b3ac1f647378fd4c,653.7586717812513,748.6977157470242
3b6f2590bb08848ae5b7cd08a41d1cc6a628c1f6,751.1041125611865,747.9535559698628
1bd11a80b10302f02376d8b755ca5a296eea87ac,814.7096939811133,747.074198280318
9027f65d4e576928ca59690c280050c53d66506a,683.6411967862824,746.5546276532235
b434f8f1723aa06a245cc52f60dbe0036d00d227,725.7703963778562,745.0915418222446
687448d804c924b64fb61ba94b1846007d6ab904,668.0656371011532,744.8139915527105
2abaa7d3759d277dd920da6e8099939c1f794be0,699.7365313145974,742.1390089470278
